,folioviv,foliohog,tot_integ,edad_jefe,jefe_es_hombre,alimentos,gasto_mon,transporte,ing_cor,jefe_termino_sec,tiene_auto,tasa_ahorro
1,100013606,1,4,46,1,9321.32,20397.1,4915.68,31425.68,1,1,0.351
2,100017801,1,2,26,1,15081.32,44955.73,7029.68,33979.16,1,1,-0.323
4,100017803,1,2,63,1,11969.93,30140.68,7154.75,90703.26,1,1,0.668
5,100017804,1,4,33,1,7547.03,39991.94,16171.31,30368.84,1,1,-0.317
6,100017805,1,3,60,1,11281.98,20512.46,4200.0,52770.48,1,1,0.611
7,100021401,1,2,76,1,8254.05,16152.72,2802.53,24702.0,1,1,0.346
8,100021402,1,2,74,1,321.42,2974.54,1451.61,24708.38,1,1,0.88
9,100021403,1,6,37,1,4885.69,18924.95,5093.9,181234.27,1,1,0.896
16,100041904,1,3,55,1,2391.35,18056.83,5609.56,31353.24,1,1,0.424
19,100044702,1,5,50,1,34846.91,99424.43,17319.84,105746.68,1,1,0.06
20,100044705,1,6,48,1,12336.26,83998.93,10049.97,36599.94,1,1,-1.295
25,100045306,1,2,82,1,17847.94,26891.75,3320.19,44605.04,1,1,0.397
29,100054201,1,3,75,1,7971.2,19957.42,4505.79,42163.94,1,1,0.527
33,100054206,1,2,29,1,6904.06,39875.78,11102.64,66363.61,1,1,0.399
35,100058702,1,3,45,1,11416.93,77162.56,7086.88,22143.77,1,1,-2.485
36,100058703,1,4,68,0,16053.87,20742.74,1140.0,40364.64,1,1,0.486
37,100058705,1,5,38,0,16220.33,24533.62,3480.0,34741.65,1,1,0.294
38,100058706,1,5,52,1,13101.35,50667.51,11531.8,93590.14,1,1,0.459
40,100061503,1,6,47,1,9461.43,78939.18,26577.92,79036.78,1,1,0.001
41,100061504,1,2,30,0,14551.02,73888.23,26009.53,48510.54,1,1,-0.523
42,100061505,1,5,39,1,16761.99,63501.15,6672.99,64436.65,1,1,0.015
43,100062601,1,2,41,0,15839.9,51499.17,13350.0,93509.32,1,1,0.449
47,100062606,2,4,50,1,8164.16,16929.73,3668.57,58229.48,1,1,0.709
48,100084801,1,5,68,1,4281.33,11747.78,2314.26,42760.84,1,1,0.725
50,100084803,1,2,70,1,10337.06,17462.06,5940.0,38946.01,1,1,0.552
51,100084804,1,4,28,1,30908.44,124830.3,35356.03,71071.46,1,1,-0.756
61,100104904,1,2,90,1,5207.05,10230.72,1440.0,42783.6,1,1,0.761
63,100104906,1,2,64,1,3098.5,16601.97,7587.09,55603.07,1,1,0.701
65,100113303,1,1,44,1,9488.38,21432.22,4354.83,44554.86,1,1,0.519
73,100116506,1,2,32,0,19632.74,45776.09,8166.07,84741.82,1,1,0.46
74,100117601,1,4,75,1,10272.8,48581.05,10618.92,82018.0,1,1,0.408
77,100117605,1,3,70,1,10722.66,21944.55,2700.0,42811.46,1,1,0.487
79,100139002,1,5,68,1,12053.35,43992.35,4853.42,50099.86,1,1,0.122
81,100139005,1,3,58,1,13448.47,25302.4,3826.26,71611.03,1,1,0.647
83,100144201,1,4,56,0,77807.03,212286.72,57918.24,128202.89,1,1,-0.656
84,100144202,1,5,54,0,28221.27,57592.41,13112.89,90277.14,1,1,0.362
86,100144205,1,4,32,0,2963.48,6503.25,1451.61,7369.71,1,1,0.118
87,100160702,1,2,77,1,12329.93,30338.95,7564.26,81091.64,1,1,0.626
88,100160703,1,3,55,1,14390.8,31465.37,6000.0,41743.88,1,1,0.246
91,100160706,1,5,80,1,21124.08,39402.39,3900.0,62972.15,1,1,0.374
94,100175502,2,3,52,1,6531.32,14224.64,5424.19,29464.51,1,1,0.517
97,100175505,1,3,43,1,15826.92,35256.49,5190.65,35585.79,1,1,0.009
102,100189606,1,1,67,0,3227.04,10506.49,1950.0,19486.98,1,1,0.461
103,100199801,1,6,60,1,43765.52,217101.02,61677.04,353016.36,1,1,0.385
104,100199804,1,2,87,1,7804.2,34957.65,3213.39,72857.13,1,1,0.52
105,100199805,1,4,46,1,25559.76,142736.62,3135.0,47744.23,1,1,-1.99
110,100203405,1,3,74,0,85850.13,154483.16,12812.9,217688.55,1,1,0.29
112,100211901,1,2,70,0,3509.94,7873.58,2692.25,34332.98,1,1,0.771
113,100211903,1,2,54,1,21857.01,47733.37,5081.21,40516.7,1,1,-0.178
114,100211904,1,2,77,1,4808.48,21055.29,1167.0,48194.57,1,1,0.563
120,100221001,1,3,55,1,6852.81,30505.06,8177.41,91096.56,1,1,0.665
122,100221003,1,2,74,0,8234.84,23009.22,9580.63,52972.02,1,1,0.566
124,100221006,1,3,63,1,11828.49,44752.35,8710.51,61336.94,1,1,0.27
125,100225802,1,3,60,1,22853.28,48214.96,7832.02,54502.53,1,1,0.115
127,100225806,1,4,57,0,29057.05,99030.99,11468.85,89855.95,1,1,-0.102
129,100231202,1,5,79,0,21956.61,46945.92,8029.8,69427.74,1,1,0.324
136,100254703,1,3,62,1,12098.46,65711.59,33472.13,135317.44,1,1,0.514
137,100261501,1,7,68,1,21509.67,66518.85,7524.18,122537.86,1,1,0.457
138,100261503,1,2,87,0,24929.72,80058.05,6063.91,61982.94,1,1,-0.292
139,100261505,1,10,71,1,19130.99,43759.83,1200.0,99619.05,1,1,0.561
140,100261506,1,5,51,1,10799.82,19047.71,3639.57,45544.33,1,1,0.582
149,100290901,1,3,47,1,38687.02,81431.33,22790.43,172322.97,1,1,0.527
151,100290903,1,4,54,1,12316.96,22769.48,2104.83,25778.87,1,1,0.117
153,100290905,1,5,62,1,15698.42,41949.24,6739.58,77383.56,1,1,0.458
154,100290906,1,2,65,1,11918.47,25522.89,5425.3,7649.36,1,1,-2.337
160,100291806,1,3,87,1,18822.62,33617.43,3600.0,65842.26,1,1,0.489
161,100298401,1,3,59,1,31544.71,94627.94,40890.23,244199.97,1,1,0.612
162,100298402,1,2,73,1,6235.6,15818.53,3666.76,59618.76,1,1,0.735
165,100299902,1,2,61,0,11860.57,23991.24,7810.96,89791.71,1,1,0.733
166,100299905,1,3,58,1,9616.97,19954.83,4070.22,65067.74,1,1,0.693
167,100299906,1,2,71,1,13255.54,32174.88,2966.99,96226.04,1,1,0.666
174,100318204,1,4,76,1,7635.1,87003.44,5064.19,144670.33,1,1,0.399
179,100327704,1,5,75,1,17536.92,37122.99,6267.0,142804.88,1,1,0.74
183,100329503,1,2,61,0,7174.21,25310.95,5818.62,57680.15,1,1,0.561
184,100329504,1,2,65,1,12548.38,23812.15,3387.07,51977.87,1,1,0.542
187,100340602,1,4,40,1,7341.34,19157.08,3685.71,46829.97,1,1,0.591
188,100340603,1,2,71,1,4847.01,12371.64,3796.72,28392.58,1,1,0.564
189,100340605,1,2,35,1,17228.49,34594.83,6900.0,61008.17,1,1,0.433
195,100360805,1,5,75,1,12072.72,33115.7,5962.62,71334.68,1,1,0.536
199,100375404,1,4,50,0,20031.21,72659.29,6677.55,44217.36,1,1,-0.643
201,100375406,1,1,66,0,11031.3,26847.08,3167.77,88649.44,1,1,0.697
203,100391902,1,5,45,1,9430.55,32296.4,4735.4,118059.47,1,1,0.726
208,100398003,1,3,76,1,21419.89,37980.2,9007.74,66353.77,1,1,0.428
212,100407201,1,2,32,0,5059.23,29906.51,3988.93,30906.58,1,1,0.032
214,100407204,1,4,51,1,19294.59,34127.95,6416.17,71489.28,1,1,0.523
215,100407205,1,3,52,1,10735.57,46143.75,5192.85,61360.12,1,1,0.248
217,100417002,1,4,52,1,29288.33,72473.45,13902.34,187329.04,1,1,0.613
218,100417003,1,3,50,0,18899.87,65566.72,9840.19,105260.84,1,1,0.377
219,100417006,1,5,46,1,25855.49,67641.2,15336.93,93821.49,1,1,0.279
220,100419702,1,4,59,1,27096.25,53531.7,7199.99,79532.47,1,1,0.327
222,100419705,1,5,40,1,14881.95,94231.36,25430.33,140773.74,1,1,0.331
224,100425203,1,5,42,1,19761.18,56106.39,23002.84,53791.01,1,1,-0.043
225,100425204,1,3,38,1,3625.7,40451.51,5812.15,130347.6,1,1,0.69
226,100425205,1,4,58,1,7971.31,21192.56,7317.46,113576.73,1,1,0.813
227,100425206,1,3,53,0,6917.03,20263.49,4999.89,43554.74,1,1,0.535
230,100432503,1,5,38,1,20905.44,37644.51,4094.57,54017.32,1,1,0.303
232,100432506,1,1,39,1,4589.94,10327.72,3503.22,32141.11,1,1,0.679
235,100440603,1,3,61,1,12496.96,30285.78,5431.08,73222.52,1,1,0.586
238,100440606,1,4,40,0,14836.92,29274.46,6124.61,42559.72,1,1,0.312
239,100446803,1,2,23,1,12368.33,68263.52,16625.4,24995.04,1,1,-1.731
243,100448701,1,4,44,0,21522.61,51323.81,10818.25,55081.22,1,1,0.068
245,100448703,1,4,38,1,12451.93,28305.84,6795.0,39712.82,1,1,0.287
246,100448704,1,2,70,1,12239.74,21898.24,5136.0,22681.95,1,1,0.035
247,100448705,1,2,66,0,5927.06,26158.61,6339.34,59129.49,1,1,0.558
248,100448706,1,3,67,1,10304.85,22118.31,3287.12,27934.39,1,1,0.208
249,100451401,1,2,34,1,5219.84,22786.54,8220.25,63851.05,1,1,0.643
250,100451402,1,4,33,1,11494.1,32454.37,9619.35,21423.9,1,1,-0.515
253,100451405,1,6,38,1,18070.55,38329.16,9098.7,85674.31,1,1,0.553
255,100456902,1,5,50,1,25354.03,69467.61,11560.47,50800.89,1,1,-0.367
256,100456904,1,4,48,1,2642.08,26866.58,6887.65,48185.76,1,1,0.442
257,100456905,1,3,78,0,12291.34,85974.13,3446.05,161412.31,1,1,0.467
260,100465502,1,2,76,1,9244.17,16011.32,3612.58,49122.47,1,1,0.674
261,100465503,1,4,50,1,10857.68,48890.56,5489.43,62824.84,1,1,0.222
262,100465506,1,4,49,1,9494.84,24450.4,9990.4,57195.86,1,1,0.573
264,100469303,1,4,54,0,34379.65,151161.48,21028.1,113705.76,1,1,-0.329
265,100469304,1,3,60,1,32618.3,50231.52,7959.56,105672.66,1,1,0.525
268,100471001,1,5,43,1,10889.86,20533.1,4777.19,50960.42,1,1,0.597
270,100471003,1,4,50,1,17427.59,35010.19,6249.81,50976.62,1,1,0.313
272,100471005,1,4,52,1,37401.12,70583.92,12405.16,159988.34,1,1,0.559
275,100489203,1,5,60,1,16495.62,49307.49,10204.28,40539.52,1,1,-0.216
276,100489205,1,2,29,1,9546.33,49024.02,10970.25,136743.48,1,1,0.641
277,100491701,1,4,72,0,26459.67,45626.66,6300.0,209581.94,1,1,0.782
282,100498501,1,4,56,1,8048.48,58199.01,13693.54,77344.9,1,1,0.248
283,100498503,1,4,40,1,6415.61,14706.75,3953.22,17419.35,1,1,0.156
284,100498504,1,2,37,1,4397.08,9753.33,4426.25,87609.55,1,1,0.889
285,100498505,1,4,55,1,15511.97,49352.85,14829.67,80328.58,1,1,0.386
286,100498506,1,2,54,1,9250.6,23241.79,4918.06,62450.9,1,1,0.628
287,100502602,1,3,55,0,31377.58,106650.33,8963.56,141096.14,1,1,0.244
288,100502603,1,4,62,1,21914.82,178318.24,33199.66,477196.66,1,1,0.626
289,100502604,1,4,59,1,24447.55,335188.77,9345.68,152481.47,1,1,-1.198
291,100503803,1,3,50,0,0.0,22007.64,4590.0,79121.3,1,1,0.722
292,100503805,1,2,27,0,4757.08,32395.0,3900.0,34528.78,1,1,0.062
293,100503806,1,2,64,0,9578.44,30054.75,3150.0,25489.43,1,1,-0.179
294,100510401,1,2,68,1,8574.38,30523.34,4472.9,104058.56,1,1,0.707
298,100510406,1,4,47,1,16069.96,48752.57,6185.55,60888.0,1,1,0.199
305,100524902,1,6,49,1,7251.26,46935.54,4666.85,107041.4,1,1,0.562
307,100524904,1,3,54,1,15196.89,21873.35,2938.93,19795.56,1,1,-0.105
312,100529303,1,2,61,1,9184.89,12626.25,1161.29,6935.8,1,1,-0.82
316,100530003,1,4,35,1,15994.2,49256.46,6483.87,81866.21,1,1,0.398
317,100530004,1,3,64,1,10427.04,26865.38,11236.7,77327.53,1,1,0.653
320,100531201,1,4,57,0,5014.19,27014.25,9020.61,46191.06,1,1,0.415
325,100537701,1,3,65,1,19812.62,47584.34,14520.0,137252.42,1,1,0.653
326,100537702,1,4,65,0,5605.65,23198.4,12093.44,100622.93,1,1,0.769
327,100537703,1,2,27,0,14554.15,32587.7,7670.65,39708.51,1,1,0.179
328,100537704,1,2,69,1,8974.21,20284.92,3474.0,25848.82,1,1,0.215
330,100540502,1,2,73,1,15004.13,48415.11,2713.87,104056.92,1,1,0.535
331,100540503,1,7,57,0,24466.83,112882.46,9766.59,193731.88,1,1,0.417
332,100540506,1,4,40,1,7084.08,53144.59,3861.59,81342.35,1,1,0.347
336,100572602,1,4,53,1,32039.76,146710.34,17640.0,408049.16,1,1,0.64
337,100578901,1,3,74,1,4802.07,17403.2,9499.25,53071.55,1,1,0.672
340,100578905,1,4,41,1,10568.49,63567.12,6387.08,57190.37,1,1,-0.112
344,100584803,1,3,41,1,4924.18,34481.87,14324.81,58981.62,1,1,0.415
345,100584804,1,5,33,1,2918.52,15279.15,4500.0,35518.72,1,1,0.57
350,100590401,1,4,52,1,5798.5,43974.43,5962.12,112799.76,1,1,0.61
351,100590403,1,2,63,1,5650.62,13787.45,3551.61,85564.53,1,1,0.839
352,100590405,1,1,59,0,14348.37,40582.67,6829.4,61949.59,1,1,0.345
353,100590406,1,4,61,1,18314.84,137549.17,26138.38,150197.5,1,1,0.084
354,100592901,1,3,52,0,12921.29,25232.91,4993.54,92500.85,1,1,0.727
355,100592902,1,2,24,1,15814.14,43034.71,6754.83,19690.63,1,1,-1.186
357,100592906,1,4,49,1,15569.86,27173.14,5612.9,69305.81,1,1,0.608
358,100601301,1,2,42,1,7585.62,12814.6,2549.84,27013.39,1,1,0.526
364,100602301,1,3,56,1,10465.59,32247.37,11831.89,48133.32,1,1,0.33
365,100602302,1,1,75,1,3972.79,18564.4,5930.44,35040.82,1,1,0.47
366,100602303,1,2,59,1,14916.7,43106.01,7768.43,218679.15,1,1,0.803
367,100602304,1,3,66,1,13120.52,17236.92,1916.12,33267.24,1,1,0.482
369,100613001,1,3,60,0,16109.75,32722.63,9512.89,123697.54,1,1,0.735
370,100613002,1,2,71,0,10414.14,15705.66,2983.81,35122.71,1,1,0.553
372,100613005,1,1,31,0,3227.1,23217.42,5082.58,47690.2,1,1,0.513
373,100613006,1,1,53,1,9308.47,24252.39,5391.19,45366.04,1,1,0.465
375,100628202,1,4,53,1,14978.33,57760.99,7755.51,71000.88,1,1,0.186
376,100628203,1,3,57,1,9713.43,18777.4,5389.54,97451.01,1,1,0.807
377,100628205,1,3,56,0,19401.13,36514.04,6545.8,34028.34,1,1,-0.073
378,100628206,1,1,30,0,10091.47,26584.85,1697.8,34912.06,1,1,0.239
381,100634705,1,6,33,1,5097.79,11515.97,3845.9,33379.3,1,1,0.655
382,100634706,1,1,66,1,5322.73,20326.95,6824.25,28656.2,1,1,0.291
383,100657501,1,3,25,0,11404.08,54494.15,17661.58,78820.49,1,1,0.309
385,100657505,1,4,49,1,14026.98,31944.43,4451.61,111729.85,1,1,0.714
386,100657506,1,4,54,1,15113.36,41028.23,11523.54,50908.44,1,1,0.194
389,100663605,1,3,30,1,4139.89,28476.56,6393.43,87745.09,1,1,0.675
392,100691802,1,6,64,1,6486.34,13344.33,2999.99,19947.73,1,1,0.331
401,100714405,1,4,46,1,8035.49,19788.3,4788.54,41312.07,1,1,0.521
403,100729901,1,5,45,1,1954.26,53351.27,10180.43,76814.74,1,1,0.305
404,100729902,1,5,53,1,17952.18,42932.08,8473.25,57872.15,1,1,0.258
405,100729903,1,4,51,1,32817.68,86125.42,13018.16,169116.02,1,1,0.491
406,100729904,1,4,48,1,18591.31,100706.06,52688.47,123956.82,1,1,0.188
407,100729905,1,3,49,1,12346.57,24531.59,1125.0,188690.3,1,1,0.87
415,100732306,1,3,38,0,16399.08,55039.41,5240.66,58096.42,1,1,0.053
417,100737002,1,3,63,0,7868.44,29384.84,7533.09,77951.43,1,1,0.623
419,100737004,1,2,63,1,11661.24,23031.7,3739.68,31518.92,1,1,0.269
421,100737006,1,2,68,1,8202.68,19642.56,6075.97,17479.29,1,1,-0.124
429,100743205,1,4,36,1,6261.36,46092.88,21216.75,156287.64,1,1,0.705
431,100746701,1,2,68,1,12908.43,51501.64,13310.64,70598.35,1,1,0.27
432,100746702,1,10,53,1,20416.89,66484.16,14847.85,104178.64,1,1,0.362
440,100747505,1,8,76,1,12612.77,22751.43,3241.48,68818.0,1,1,0.669
454,100767402,1,3,34,1,10324.12,34755.27,18847.17,43445.78,1,1,0.2
460,100769301,1,5,47,1,30239.61,64731.52,13860.12,61994.15,1,1,-0.044
461,100769302,1,10,64,0,16553.33,46958.75,10145.6,123590.84,1,1,0.62
462,100769303,1,3,43,1,25720.56,55164.37,7978.72,42131.46,1,1,-0.309
470,100798701,1,3,67,1,22877.43,41707.54,4836.0,137562.05,1,1,0.697
