folioviv,foliohog,tiene_auto,termino_sec,gastot_tri,ingtot_tri,est_trans_tri,tasa_alim_tri
2660021414,1,0,0,15230.199999999999,11015.199999999999,690,0.599
2660577904,1,0,0,6909.669999999999,18635.86,0,0.419
860048822,1,1,1,16076.48,18049.16,0,0.249
2062588003,1,0,0,7081.650000000002,11759.65,120,0.306
1560616912,1,0,1,18708.809999999994,22989.109999999997,0,0.352
2760272923,1,1,1,25706.50999999999,100516.29000000001,0,0.06
2504883315,2,1,0,9020.7,27586.94,180,0.087
3061023409,1,0,0,5118.540000000001,7776.179999999999,1500,0.887
3200210904,1,1,1,66483.92999999996,98070.63999999998,0,0.107
505013303,1,0,1,17271.899999999998,32722.809999999998,0,0.425
